protein,pfam_name,pfam_accession,evalue,score
NP_416708.1,Fer4,PF00037,3.6e-07,30.3
NP_416708.1,Fer4_7,PF12838,5.1e-06,27.4
NP_416709.1,Fer4_7,PF12838,4e-14,53.4
NP_416709.1,Fer4_6,PF12837,1e-11,44.8
NP_416709.1,Fer4,PF00037,1.7e-10,40.8
NP_416709.1,Fer4_9,PF13187,1.1e-09,38.8
NP_416709.1,Fer4_10,PF13237,3.4e-09,37.1
NP_416709.1,LdpA_Fe-S-bd,PF25160,8.7e-08,32.4
NP_416709.1,Fer4_2,PF12797,4.9e-07,29.9
NP_416709.1,Fer4_17,PF13534,2.4e-06,28.6
NP_416709.1,Fer4_4,PF12800,4.1e-05,24.1
NP_416710.1,Molybdopterin,PF00384,6.3e-73,246.4
NP_416710.1,Molydop_binding,PF01568,1.9e-24,86.4
NP_416710.1,Molybdop_Fe4S4,PF04879,2.7e-20,72.7
NP_416711.1,NapD,PF03927,5e-27,94.4
NP_416712.1,Fer4_7,PF12838,5.5e-15,56.1
NP_416712.1,Fer4,PF00037,5.8e-14,51.8
NP_416712.1,Fer4_9,PF13187,6.2e-13,49.2
NP_416712.1,Fer4_10,PF13237,4.3e-10,40.0
NP_416712.1,Fer4_16,PF13484,1.1e-07,33.0
NP_416712.1,Fer4_2,PF12797,5e-07,29.8
NP_416712.1,Fer4_6,PF12837,7e-07,29.5
NP_416712.1,Fer4_3,PF12798,1.6e-06,29.1
NP_416712.1,Fer4_8,PF13183,2.1e-06,28.7
NP_416712.1,Fer4_4,PF12800,1.5e-06,28.6
NP_416713.1,Ecotin,PF03974,9.6e-51,171.5
NP_416714.1,Mqo,PF06039,8.9e-240,796.8
NP_416714.1,DAO,PF01266,1.1e-09,38.9
NP_416714.1,FAD_binding_3,PF01494,3.8e-05,23.7
NP_416715.1,ABC_tran,PF00005,1.2e-29,104.2
NP_416716.1,2OG-FeII_Oxy_2,PF13532,7.7e-60,203.0
NP_416717.1,DNA_binding_1,PF01035,8.2e-36,122.3
NP_416717.1,Ada_Zn_binding,PF02805,1.2e-32,112.3
NP_416717.1,HTH_AraC,PF00165,5.2e-20,71.7
NP_416717.1,Methyltransf_1N,PF02870,7.3e-18,65.5
NP_416717.1,HTH_18,PF12833,3.4e-17,63.1
NP_416718.1,ApbE,PF02424,4.3e-85,286.0
NP_416719.1,Porin_1,PF00267,8.8e-142,473.1
NP_416719.1,Porin_4,PF13609,2.3e-18,67.7
NP_416720.1,RcsD_ABL,PF16359,1.7e-42,144.4
NP_416720.1,Hpt,PF01627,8.6e-14,52.1
NP_416720.1,HATPase_c,PF02518,5.6e-12,46.7
NP_416721.1,Response_reg,PF00072,2.8e-21,76.3
NP_416721.1,GerE,PF00196,1.1e-11,44.7
NP_416722.2,RcsC,PF09456,6.6e-39,132.3
NP_416722.2,HATPase_c,PF02518,4.1e-32,111.5
NP_416722.2,Response_reg,PF00072,1e-29,103.5
NP_416722.2,HisKA,PF00512,8e-18,64.8
NP_416723.1,HATPase_c,PF02518,2.4e-25,89.7
NP_416723.1,PAS,PF00989,3.1e-23,82.5
NP_416723.1,HisKA,PF00512,3.9e-18,65.9
NP_416723.1,PAS_9,PF13426,2.4e-11,44.4
NP_416723.1,PAS_4,PF08448,2e-10,41.5
NP_416723.1,PAS_8,PF13188,5.2e-06,26.7
NP_416724.1,Sigma54_activat,PF00158,1.5e-75,253.1
NP_416724.1,Response_reg,PF00072,6e-32,110.7
NP_416724.1,AAA_lid_14,PF25601,1.3e-27,96.0
NP_416724.1,Sigma54_activ_2,PF14532,2.2e-18,67.5
NP_416724.1,HTH_8,PF02954,1.9e-14,53.7
NP_416724.1,AAA_5,PF07728,8.1e-07,29.7
NP_416724.1,AAA,PF00004,2.1e-05,25.5
NP_416725.1,CoA_trans,PF01144,4.6e-73,245.8
NP_416726.1,CoA_trans,PF01144,8.1e-44,150.2
NP_416727.1,SCFA_trans,PF02667,1.7e-233,776.2
NP_416728.1,Thiolase_N,PF00108,1.3e-105,353.1
NP_416728.1,Thiolase_C,PF02803,2e-54,183.0
NP_416729.1,DUF2135,PF09906,2.6e-18,66.4
NP_416730.1,DUF2300,PF10062,3.1e-91,302.7
NP_416730.1,SpoIID,PF08486,5.6e-06,27.5
NP_416732.4,DUF1175,PF06672,9.8e-58,195.9
NP_416733.4,DUF2138,PF09909,1.6e-291,968.5
NP_416734.1,DNA_topoisoIV,PF00521,1.4e-160,535.5
NP_416734.1,DNA_gyraseA_C,PF03989,1.1e-77,255.9
NP_416735.1,Methyltransf_23,PF13489,3e-25,89.4
NP_416735.1,Methyltransf_11,PF08241,8.6e-22,78.2
NP_416735.1,Methyltransf_25,PF13649,1.8e-19,70.8
NP_416735.1,Methyltransf_12,PF08242,5.5e-16,59.7
NP_416735.1,Methyltransf_31,PF13847,2.2e-15,57.3
NP_416735.1,Ubie_methyltran,PF01209,1.4e-09,38.2
NP_416735.1,CMAS,PF02353,3.9e-08,33.5
NP_416735.1,MTS,PF05175,2.1e-06,28.0
NP_416735.1,PrmA,PF06325,9.2e-06,25.9
NP_416735.1,NodS,PF05401,2e-05,25.1
NP_416735.1,Methyltransf_9,PF08003,1.6e-05,24.6
NP_416736.1,Autotransporter,PF03797,1.7e-34,120.3
NP_416736.1,AC_1,PF18883,2.6e-17,63.5
NP_416736.1,PATR,PF12951,1.5e-09,38.3
NP_416736.1,Chlam_PMP,PF02415,1.2e-09,38.0
NP_416737.1,Ribonuc_red_lgC,PF02867,6.2e-139,464.6
NP_416737.1,Ribonuc_red_lgN,PF00317,2.4e-15,56.9
NP_416737.1,ATP-cone,PF03477,3e-13,50.7
NP_416738.1,Ribonuc_red_sm,PF00268,1.6e-51,175.9
NP_416739.1,Fer2,PF00111,1.7e-12,47.7
NP_416740.1,Kdo,PF06293,1.5e-77,260.3
NP_416742.1,GDPD,PF03009,1.8e-65,222.1
NP_416743.1,MFS_1,PF07690,8.1e-51,173.6
NP_416744.1,DAO,PF01266,4.3e-59,201.4
NP_416744.1,Fer2_BFD,PF04324,8.4e-09,36.2
NP_416744.1,FAD_binding_2,PF00890,5.8e-08,32.9
NP_416744.1,FAD_binding_3,PF01494,6.7e-08,32.7
NP_416744.1,FAD_oxidored,PF12831,3e-06,27.4
NP_416745.1,FAD_binding_2,PF00890,3e-82,277.6
NP_416746.1,CCG,PF02754,3.7e-34,117.3
NP_416746.1,Fer4_8,PF13183,2.1e-11,44.8
NP_416746.1,Fer4_17,PF13534,2.8e-07,31.6
NP_416746.1,Fer4_7,PF12838,2.5e-06,28.4
NP_416746.1,Fer4,PF00037,2.2e-06,27.8
NP_416747.1,Transposase_31,PF04754,1.1e-87,293.5
NP_416747.1,HTH_Rpn_C,PF27070,1.6e-11,44.0
NP_416748.1,HpcH_HpaI,PF03328,1.6e-67,227.7
NP_416749.4,MFS_1,PF07690,2.8e-47,161.9
NP_416750.2,MR_MLE_C,PF13378,3.6e-37,128.7
NP_416750.2,MR_MLE_N,PF02746,4.4e-08,33.9
NP_416751.1,IclR_C,PF01614,1.1e-63,214.6
NP_416751.1,HTH_IclR,PF09339,2.3e-09,37.5
NP_416752.1,MoCF_biosynth,PF00994,5.3e-35,120.8
NP_416753.4,YfaZ,PF07437,4.8e-92,307.1
NP_416754.1,NUDIX,PF00293,8.8e-23,81.4
NP_416755.1,His_Phos_1,PF00300,6.9e-09,36.3
NP_416756.6,DegT_DnrJ_EryC1,PF01041,1.3e-139,466.0
NP_416756.6,Aminotran_1_2,PF00155,1.2e-09,38.5
NP_416756.6,Cys_Met_Meta_PP,PF01053,8.1e-09,35.1
NP_416756.6,Aminotran_5,PF00266,6.3e-06,26.0
NP_416757.1,Glycos_transf_2,PF00535,1.6e-35,123.1
NP_416757.1,Glyco_tranf_2_3,PF13641,1.3e-09,38.7
NP_416757.1,Glyco_tranf_2_2,PF10111,6.1e-08,33.1
NP_416758.1,Epimerase,PF01370,1.5e-46,159.3
NP_416758.1,GDP_Man_Dehyd,PF16363,1.6e-28,100.7
NP_416758.1,Formyl_trans_N,PF00551,3.2e-24,86.2
NP_416758.1,Formyl_trans_C,PF02911,5.5e-22,78.4
NP_416758.1,3Beta_HSD,PF01073,3.4e-05,23.6
NP_416759.1,Polysacc_deac_1,PF01522,3.8e-10,40.4
NP_416760.1,PMT,PF02366,2.7e-62,211.1
NP_416760.1,PMT_2,PF13231,3.1e-09,37.8
NP_416762.2,PmrD,PF11183,4.2e-21,75.6
NP_416763.1,AMP-binding,PF00501,6.6e-49,167.3
NP_416763.1,AMP-binding_C,PF13193,8.8e-07,30.3
NP_416764.1,MenC_N,PF21508,2.9e-41,140.1
NP_416764.1,MR_MLE_C,PF13378,3.5e-16,60.2
NP_416765.1,ECH_1,PF00378,5.5e-78,262.4
NP_416765.1,ECH_2,PF16113,1.6e-22,81.0
NP_416766.1,Abhydrolase_6,PF12697,8.7e-21,76.1
NP_416766.1,Abhydrolase_1,PF00561,6.5e-16,59.3
NP_416766.1,Hydrolase_4,PF12146,1.7e-07,31.4
NP_416767.1,TPP_enzyme_M_2,PF16582,8.8e-86,287.5
NP_416767.1,TPP_enzyme_N,PF02776,1.7e-21,76.8
NP_416767.1,TPP_enzyme_C,PF02775,5.6e-09,36.6
NP_416768.4,Chorismate_bind,PF00425,2.2e-64,218.1
NP_416769.1,DUF883_C,PF19029,3.1e-17,62.5
NP_416769.1,DUF883,PF05957,1.4e-09,38.3
NP_416770.1,Acetyltransf_10,PF13673,4.9e-17,62.7
NP_416770.1,Acetyltransf_1,PF00583,3.6e-10,40.7
NP_416770.1,Acetyltransf_7,PF13508,5.6e-09,36.9
NP_416771.4,Lactamase_B_2,PF12706,4.5e-16,59.6
NP_416771.4,Anti-Pycsar_Apyc1,PF23023,2.1e-10,41.4
NP_416771.4,Lactamase_B,PF00753,2.3e-07,31.5
NP_416772.1,ElaD_SseL-like_N,PF22103,2.9e-51,172.7
NP_416772.1,Peptidase_C48,PF02902,3e-32,112.8
NP_416772.1,ElaD-SseL-like_C,PF22102,2e-26,93.6
NP_416773.1,YfbK_C,PF12034,1.8e-66,224.3
NP_416773.1,vWF_A,PF12450,1.7e-33,115.1
NP_416773.1,VWA,PF00092,4e-22,79.8
NP_416773.1,VWA_2,PF13519,2.4e-13,51.2
NP_416773.1,VWA_3,PF13768,7.4e-12,46.2
NP_416774.2,Peptidase_M28,PF04389,1.6e-25,90.6
NP_416775.1,DUF1877,PF08974,3.2e-35,122.3
NP_416777.2,YfbO,PF27222,1.6e-38,132.2
NP_416779.2,Proton_antipo_M,PF00361,4e-92,309.1
NP_416780.1,Proton_antipo_M,PF00361,5.9e-70,236.4
NP_416781.1,Proton_antipo_M,PF00361,5.9e-98,328.3
NP_416781.1,Proton_antipo_N,PF00662,2.4e-21,75.9
NP_416782.1,Oxidored_q2,PF00420,5.3e-24,84.4
NP_416783.1,Oxidored_q3,PF00499,1e-37,129.6
NP_416784.1,Fer4,PF00037,3.2e-14,52.6
NP_416784.1,Fer4_7,PF12838,9.8e-12,45.7
NP_416784.1,Fer4_21,PF14697,3.8e-09,37.1
NP_416784.1,Fer4_16,PF13484,8.4e-09,36.7
NP_416784.1,Fer4_8,PF13183,1.1e-08,36.1
NP_416784.1,Fer4_2,PF12797,1.3e-07,31.7
NP_416784.1,Fer4_10,PF13237,1.7e-07,31.7
NP_416784.1,Fer4_9,PF13187,2.2e-07,31.4
NP_416784.1,Fer4_17,PF13534,3.5e-06,28.1
NP_416784.1,Fer4_6,PF12837,6e-06,26.5
NP_416784.1,Fer4_4,PF12800,1.3e-05,25.7
NP_416785.1,NADHdh,PF00146,6.1e-120,400.7
NP_416786.4,Fer4_Nqo3,PF22117,6.7e-27,94.1
NP_416786.4,Molybdopterin,PF00384,2e-17,63.9
NP_416786.4,NADH-G_4Fe-4S_3,PF10588,2.8e-16,59.4
NP_416786.4,Molybdop_Fe4S4,PF04879,2.1e-13,50.6
NP_416786.4,Fer2_4,PF13510,1.5e-12,48.0
NP_416786.4,Fer2,PF00111,2e-07,31.4
NP_416786.4,Molydop_binding,PF01568,3.3e-07,30.9
NP_416787.1,Complex1_51K,PF01512,1.5e-48,165.0
NP_416787.1,NADH_4Fe-4S,PF10589,1.5e-28,99.1
NP_416788.1,2Fe-2S_thioredx,PF01257,1.5e-52,177.9
NP_416789.2,Complex1_49kDa,PF00346,6e-104,347.5
NP_416789.2,Complex1_30kDa,PF00329,9.4e-43,146.3
NP_416790.1,Oxidored_q6,PF01058,6e-27,94.5
NP_416791.3,Oxidored_q4,PF00507,3.1e-31,108.1
NP_416792.1,LysR_substrate,PF03466,2.2e-26,93.1
NP_416792.1,HTH_1,PF00126,3.7e-18,65.8
NP_416793.1,Aminotran_1_2,PF00155,4.5e-50,171.4
NP_416793.1,DegT_DnrJ_EryC1,PF01041,6.8e-05,22.8
NP_416794.1,YfbR-like,PF12917,2.5e-77,259.3
NP_416794.1,HD_3,PF13023,9e-17,62.0
NP_416794.1,HD,PF01966,2.8e-10,41.1
NP_416795.1,CitMHS,PF03600,5e-96,322.3
NP_416795.1,TrkA_C,PF02080,1.2e-22,80.2
NP_416795.1,Na_sulph_symp,PF00939,9.8e-21,74.9
NP_416795.1,DctM,PF06808,2.4e-10,40.4
NP_416796.2,Hydrolase,PF00702,2.8e-29,103.4
NP_416796.2,HAD_2,PF13419,6e-23,82.4
NP_416796.2,HAD,PF12710,5.3e-10,40.6
NP_416796.2,Hydrolase_like,PF13242,4.9e-06,27.0
NP_416797.2,YfbU,PF03887,1.1e-71,240.9
NP_416798.1,DUF412,PF04217,3.1e-57,193.1
NP_416799.1,Acetate_kinase,PF00871,3.8e-188,625.6
NP_416800.1,PTA_PTB,PF01515,3e-131,438.1
NP_416800.1,AAA_26,PF13500,2.1e-34,119.7
NP_416800.1,DRTGG,PF07085,3.9e-27,94.7
NP_416801.2,DcuC,PF03606,3.1e-161,537.6
NP_416802.1,NUDIX,PF00293,7.4e-20,71.9
NP_416803.3,Metallophos_2,PF12850,2.2e-25,90.1
NP_416803.3,Metallophos,PF00149,2.2e-14,55.0
NP_416804.1,GST_C_4,PF14834,1.1e-80,267.9
NP_416804.1,GST_N_2,PF13409,2e-13,51.3
NP_416804.1,GST_N_3,PF13417,4.5e-12,46.7
NP_416804.1,GST_N,PF02798,5.1e-12,46.5
NP_416805.1,GST_N,PF02798,2.6e-14,53.9
NP_416805.1,GST_N_2,PF13409,8.9e-12,46.0
NP_416805.1,GST_C,PF00043,1e-09,39.1
NP_416805.1,GST_N_3,PF13417,3.3e-08,34.3
NP_416805.1,GST_C_2,PF13410,2.4e-06,28.2
NP_416805.1,GST_C_3,PF14497,1.4e-05,25.9
NP_416806.1,FolB,PF02152,2.7e-26,92.9
NP_416807.1,Epimerase,PF01370,1.2e-26,94.3
NP_416807.1,DUF1731,PF08338,9.7e-19,67.4
NP_416807.1,NAD_binding_10,PF13460,6.6e-10,39.7
NP_416807.1,GDP_Man_Dehyd,PF16363,7.6e-08,32.8
NP_416808.1,Transposase_31,PF04754,2.4e-90,302.2
NP_416808.1,HTH_Rpn_C,PF27070,2.5e-15,56.2
NP_416809.1,ABC_tran,PF00005,6.5e-36,124.5
NP_416809.1,AAA_21,PF13304,2.1e-12,48.2
NP_416810.1,BPD_transp_1,PF00528,8.4e-17,62.1
NP_416811.1,BPD_transp_1,PF00528,7.4e-27,94.9
NP_416812.1,SBP_bac_3,PF00497,3.2e-42,144.0
NP_416813.1,SBP_bac_3,PF00497,2e-41,141.4
NP_416814.1,Flavoprotein,PF02441,1.3e-42,145.7
NP_416815.1,GATase_6,PF13522,3.6e-15,56.7
NP_416815.1,GATase_7,PF13537,3.9e-12,46.9
NP_416815.1,Pribosyltran,PF00156,1.8e-07,31.2
NP_416815.1,GATase_4,PF13230,4.5e-05,23.1
NP_416816.1,Colicin_V,PF02674,6.6e-38,130.5
NP_416817.2,SPOR,PF05036,3e-12,47.3
NP_416818.1,Mur_ligase_C,PF02875,4.9e-24,86.2
NP_416818.1,Mur_ligase_M,PF08245,2.4e-09,38.0
NP_416819.1,Carboxyl_trans,PF01039,7.4e-21,74.9
NP_416819.1,Zn_ribbon_ACC,PF17848,8.2e-13,48.9
NP_416820.1,VTT_dom,PF09335,7e-25,88.5
NP_416821.1,PseudoU_synth_1,PF01416,1.5e-45,154.7
NP_416822.1,Semialdhyde_dhC,PF02774,3e-45,155.2
NP_416822.1,Semialdhyde_dh,PF01118,9.8e-29,100.8
NP_416823.1,2-Hacid_dh_C,PF02826,1.4e-31,109.9
NP_416823.1,DUF3410,PF11890,4.6e-27,94.2
NP_416823.1,2-Hacid_dh,PF00389,2.1e-18,66.9
NP_416824.1,Flk_N,PF27202,4.8e-44,149.0
NP_416825.1,MFS_1,PF07690,3.4e-36,125.4
NP_416826.1,ketoacyl-synt,PF00109,1.4e-38,133.5
NP_416826.1,Ketoacyl-synt_C,PF02801,1.8e-31,109.2
NP_416827.4,DAO,PF01266,4.7e-52,178.3
NP_416827.4,Methyltransf_30,PF05430,1.2e-50,171.2
NP_416828.1,YfcL,PF08891,1.3e-34,118.9
NP_416829.1,EpmC,PF04315,5.1e-82,274.0
NP_416830.1,TauE,PF01925,8.4e-49,166.9
NP_416831.1,Peptidase_M74,PF03411,2.6e-93,312.7
NP_416832.1,Chorismate_synt,PF01264,2.2e-142,474.2
NP_416833.4,MTS,PF05175,2.3e-16,60.4
NP_416833.4,Methyltransf_25,PF13649,7.7e-10,39.9
NP_416833.4,Methyltransf_31,PF13847,4.2e-09,36.9
NP_416833.4,PrmA,PF06325,1.2e-07,32.2
NP_416833.4,Methyltransf_12,PF08242,2.3e-07,32.0
NP_416833.4,TRM5-TYW2_MTfase,PF02475,2.2e-06,28.3
NP_416833.4,Methyltransf_15,PF09445,2.6e-06,27.7
NP_416833.4,Cons_hypoth95,PF03602,3.3e-05,24.2
NP_416833.4,Ubie_methyltran,PF01209,9.2e-05,22.5
NP_416834.1,Smr,PF01713,4.8e-23,81.6
NP_416835.2,DUF2544,PF11245,5.3e-138,459.0
NP_416836.1,Fimbrial,PF00419,1.6e-19,71.3
NP_416837.1,Fimbrial,PF00419,7.2e-13,49.7
NP_416838.1,Fimbrial,PF00419,5.8e-19,69.5
NP_416839.1,PapD_N,PF00345,2.3e-37,128.3
NP_416839.1,PapD_C,PF02753,1e-11,45.5
NP_416841.1,Fimbrial,PF00419,9.4e-16,59.1
NP_416842.1,His_Phos_1,PF00300,4.3e-07,30.4
NP_416843.1,3HCDH_N,PF02737,2e-61,207.6
NP_416843.1,ECH_1,PF00378,1.5e-43,149.6
NP_416843.1,3HCDH,PF00725,8.2e-37,126.2
NP_416843.1,ECH_2,PF16113,3.4e-28,99.7
NP_416844.1,Thiolase_N,PF00108,4e-58,197.4
NP_416844.1,Thiolase_C,PF02803,6.8e-35,120.0
NP_416844.1,ketoacyl-synt,PF00109,0.00029,21.1
NP_416845.2,DUF406,PF04175,1.2e-36,125.6
NP_416846.2,Toluene_X,PF03349,3.2e-168,560.2
NP_416848.1,MlaA,PF04333,3.3e-65,220.0
NP_416849.1,Form_Nir_trans,PF01226,4.7e-49,167.5
NP_416850.1,Phage_integrase,PF00589,5.4e-39,134.3
NP_416850.1,Phage_int_M,PF22022,5e-28,97.8
NP_416850.1,Arm-DNA-bind_3,PF13356,2.4e-25,89.0
NP_416850.1,Phage_int_SAM_3,PF14659,8.6e-07,29.7
NP_416851.1,GtrA_DPMS_TM,PF04138,2.4e-13,50.9
NP_416852.1,Glycos_transf_2,PF00535,3.2e-31,109.1
NP_416853.1,YfdI_N,PF27133,7.1e-12,45.3
NP_416855.1,Caudo_TAP,PF02413,2.1e-39,135.3
NP_416858.1,PerC,PF06069,9e-09,36.1
NP_416860.4,YfdP,PF27127,3.3e-26,92.1
NP_416861.1,DUF2303,PF10065,4.7e-93,311.9
NP_416863.1,DUF551,PF04448,0.0003,22.2
NP_416865.1,LysR_substrate,PF03466,2.2e-29,103.0
NP_416865.1,HTH_1,PF00126,6.1e-22,77.9
NP_416866.1,GntP_permease,PF02447,9.4e-167,555.8
NP_416867.1,PALP,PF00291,4.8e-47,161.3
NP_416868.1,MFS_1,PF07690,3.9e-52,177.9
NP_416868.1,TRI12,PF06609,1.1e-06,28.0
NP_416869.1,HH_EMRA,PF25885,1.7e-40,138.7
NP_416869.1,BSH_RND,PF25917,5.6e-11,42.7
NP_416869.1,Beta-barrel_AAEA,PF25963,1.9e-09,38.1
NP_416869.1,BSH_CzcB,PF25973,1.5e-08,35.0
NP_416869.1,Biotin_lipoyl,PF00364,9.1e-05,22.8
NP_416870.1,Response_reg,PF00072,1.7e-27,96.4
NP_416870.1,GerE,PF00196,3.1e-22,78.5
NP_416871.1,Response_reg,PF00072,1.9e-31,109.1
NP_416871.1,HATPase_c,PF02518,2.5e-27,96.1
NP_416871.1,SBP_bac_3,PF00497,4.5e-23,82.0
NP_416871.1,HisKA,PF00512,7.8e-17,61.7
NP_416871.1,Hpt,PF01627,3.6e-06,27.7
NP_416872.4,CoA_transf_3,PF02515,1.8e-114,383.3
NP_416873.1,Mem_trans,PF03547,2.7e-80,270.2
NP_416874.1,TPP_enzyme_M,PF00205,7e-35,120.3
NP_416874.1,TPP_enzyme_N,PF02776,1.4e-34,119.0
NP_416874.1,TPP_enzyme_C,PF02775,1.2e-26,93.9
NP_416875.1,CoA_transf_3,PF02515,4.8e-93,312.8
NP_416876.1,YfdX,PF10938,3.1e-44,151.2
NP_416878.1,DUF2545,PF10810,7.7e-41,138.7
NP_416879.4,Lip_A_acyltrans,PF03279,7e-122,406.8
NP_416880.1,Aminotran_1_2,PF00155,4.2e-65,220.9
NP_416881.1,5TM-5TMR_LYT,PF07694,8.5e-43,146.5
NP_416881.1,His_kinase,PF06580,1.9e-25,89.5
NP_416881.1,HATPase_c,PF02518,8.3e-11,42.9
NP_416881.1,GAF,PF01590,6.5e-07,30.5
NP_416882.1,LytTR,PF04397,2e-34,118.3
NP_416882.1,Response_reg,PF00072,2.2e-24,86.4
NP_416883.1,HTH_18,PF12833,1.7e-20,73.7
NP_416883.1,HTH_AraC,PF00165,6.1e-13,49.1
NP_416884.1,PEP-utilizers_C,PF02896,8.7e-111,370.4
NP_416884.1,PTS_EIIA_2,PF00359,1.6e-31,109.8
NP_416884.1,PTS-HPr,PF00381,2e-14,54.0
NP_416884.1,PEP-utilizers,PF00391,5.5e-14,52.1
NP_416884.1,PEP-utilisers_N,PF05524,1e-13,52.1
NP_416885.1,Peptidase_M42,PF05343,2.1e-85,286.9
NP_416885.1,Peptidase_M28,PF04389,0.00014,22.2
NP_416886.1,Peptidase_M24,PF00557,5e-73,245.9
NP_416886.1,Creatinase_N,PF01321,3.7e-20,73.3
NP_416887.1,PTS_EIIC,PF02378,6.9e-14,52.2
NP_416888.1,PTS_IIB,PF02302,2e-19,70.6
NP_416888.1,PTS_EIIB_BC_N,PF25554,1.1e-06,29.3
NP_416889.1,Glucokinase,PF02685,1.2e-128,429.2
NP_416890.1,Voltage_CLC,PF00654,4.6e-20,72.7
NP_416891.1,DUF2502,PF10697,3.4e-24,85.4
NP_416893.1,Nramp,PF01566,1.2e-138,463.0
NP_416894.1,Nucleos_tra2_C,PF07662,2.8e-62,210.7
NP_416894.1,Nucleos_tra2_N,PF01773,1.1e-20,74.5
NP_416894.1,Gate,PF07670,4.1e-15,56.7
NP_416895.2,DDE_Tnp_1,PF01609,1.8e-26,93.7
NP_416896.4,MASE1,PF05231,3.4e-67,227.3
NP_416896.4,EAL,PF00563,4.2e-59,200.4
NP_416897.2,YfeC-like,PF07037,3.4e-51,173.2
NP_416898.3,YfeC-like,PF07037,1.1e-63,213.5
NP_416898.3,HTH_17,PF12728,3.9e-07,30.8
NP_416899.1,tRNA-synt_1c,PF00749,2.6e-125,418.1
NP_416899.1,Anticodon_2,PF19269,4.1e-36,125.1
NP_416900.1,LysR_substrate,PF03466,3.6e-39,134.9
NP_416900.1,HTH_1,PF00126,1.2e-23,83.4
NP_416901.1,Nuc_H_symport,PF03825,9.8e-190,631.3
NP_416901.1,MFS_1_like,PF12832,6e-25,88.7
NP_416901.1,MFS_1,PF07690,4.3e-16,59.4
NP_416901.1,LacY_symp,PF01306,1.6e-07,31.1
NP_416902.1,PNP_UDP_1,PF01048,1.2e-44,153.1
NP_416903.1,Channel_Tsx,PF03502,1.9e-46,159.4
NP_416904.1,LysR_substrate,PF03466,2.2e-47,161.7
NP_416904.1,HTH_1,PF00126,8.7e-24,83.9
NP_416905.1,SBF_like,PF13593,2.6e-113,379.0
NP_416905.1,SBF,PF01758,6.7e-08,33.0
NP_416906.1,DNA_ligase_aden,PF01653,6.5e-111,370.4
NP_416906.1,OB_DNA_ligase,PF03120,8.2e-36,122.4
NP_416906.1,Nlig-Ia,PF22745,1.2e-30,105.7
NP_416906.1,HHH_2,PF12826,1.9e-23,82.9
NP_416906.1,BRCT,PF00533,2.8e-17,63.3
NP_416906.1,HHH_5,PF14520,2.7e-15,57.1
NP_416906.1,DNA_ligase_ZBD,PF03119,1.5e-11,44.5
NP_416906.1,HHH,PF00633,3.1e-06,27.3
NP_416906.1,PTCB-BRCT,PF12738,5.4e-06,26.9
NP_416907.1,ZipA_C,PF04354,2.6e-46,157.2
NP_416908.1,EI24,PF07264,5.6e-63,213.2
NP_416909.1,PALP,PF00291,1.3e-77,261.7
NP_416910.1,PTS-HPr,PF00381,5.5e-30,103.9
NP_416911.1,PEP-utilizers_C,PF02896,8.1e-133,442.7
NP_416911.1,PEP-utilisers_N,PF05524,1.6e-32,112.8
NP_416911.1,PEP-utilizers,PF00391,3.8e-24,84.6
NP_416912.1,PTS_EIIA_1,PF00358,2.4e-49,166.8
NP_416913.1,Phos_pyr_kin,PF08543,1.1e-25,91.1
NP_416913.1,PfkB,PF00294,1.1e-11,45.2
NP_416914.1,DUF5329,PF17263,5.4e-31,107.3
NP_416915.1,WGR,PF05406,7.7e-18,65.0
NP_416916.1,PALP,PF00291,1.5e-74,251.6
NP_416917.1,ABC_tran,PF00005,3.7e-41,141.5
NP_416917.1,AAA_21,PF13304,3.8e-10,40.8
NP_416919.1,BPD_transp_1,PF00528,8.9e-28,97.9
NP_416920.1,SBP_bac_11,PF13531,2.1e-36,126.4
NP_416920.1,SBP_bac_1,PF01547,3.6e-20,73.8
NP_416921.4,adh_short_C2,PF13561,1.6e-69,234.7
NP_416921.4,adh_short,PF00106,1.5e-58,198.1
NP_416921.4,KR,PF08659,3.5e-19,70.0
NP_416922.1,HTH_6,PF01418,2.1e-28,98.7
NP_416922.1,SIS,PF01380,1.3e-21,77.4
NP_416922.1,SIS_2,PF13580,7.1e-09,36.4
NP_416923.1,GKRP_SIS_N,PF22645,1.7e-18,67.0
NP_416923.1,GKRP-like_C,PF20741,5.9e-09,37.0
NP_416923.1,SIS,PF01380,5.7e-08,33.2
NP_416923.1,SIS_2,PF13580,1.1e-06,29.3
NP_416924.1,PTS_EIIC,PF02378,3.2e-48,165.0
NP_416924.1,PTS_EIIB,PF00367,7.5e-13,48.3
NP_416925.2,Beta-lactamase,PF00144,4.8e-69,233.6
NP_416926.4,Dyp_perox_C,PF20628,1.8e-64,217.0
NP_416926.4,Dyp_perox_N,PF04261,8.8e-38,130.2
NP_416927.1,DUF1131,PF06572,1.3e-84,282.8
NP_416928.4,DUF2919,PF11143,3.8e-49,167.4
NP_416929.4,Acetyltransf_1,PF00583,6.7e-21,75.3
NP_416929.4,Acetyltransf_7,PF13508,3.1e-15,56.9
NP_416929.4,Acetyltransf_10,PF13673,4.1e-10,40.3
NP_416929.4,Acetyltransf_9,PF13527,3e-08,34.3
NP_416929.4,FR47,PF08445,1.3e-07,32.1
NP_416929.4,Acetyltransf_6,PF13480,5.8e-06,27.1
