protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_415707.1,Pyr_redox_2,PF07992,1e-09,33.1,0.4,1.9e-06,22.4,0.3
NP_415708.1,Ala_racemase_N,PF01168,2.2e-68,225.1,0.1,3.6e-68,224.4,0.1
NP_415708.1,Ala_racemase_C,PF00842,5.3e-43,140.6,0.6,8.5e-43,139.9,0.6
NP_415709.2,Na_H_Exchanger,PF00999,3.5e-70,231.6,44.1,4.6e-70,231.2,44.1
NP_415709.2,TrkA_C,PF02080,1.5e-12,42.3,0.0,3e-12,41.3,0.0
NP_415709.2,CorC_HlyC,PF03471,2.7e-12,41.5,0.1,7.2e-12,40.2,0.1
NP_415716.4,PEP-utilizers,PF00391,7.3e-15,49.3,0.0,1.6e-14,48.2,0.0
NP_415721.1,YchF-GTPase_C,PF06071,5.6e-41,133.6,0.2,9.9e-41,132.8,0.2
NP_415721.1,MMR_HSR1,PF01926,5.6e-22,73.0,0.0,1.2e-21,71.9,0.0
NP_415722.1,Pept_tRNA_hydro,PF01195,4e-65,214.0,0.0,4.5e-65,213.8,0.0
NP_415725.1,Pribosyltran_N,PF13793,5.5e-55,179.2,0.1,1.1e-53,175.1,0.0
NP_415725.1,Pribosyl_synth,PF14572,2.9e-33,110.3,0.2,6.1e-33,109.2,0.1
NP_415725.1,Pribosyltran,PF00156,1.6e-22,74.5,0.6,1.1e-21,71.7,0.4
NP_415726.1,GHMP_kinases_N,PF00288,8.4e-20,65.8,0.1,1.3e-19,65.2,0.1
NP_415729.1,PCRF,PF03462,2.2e-80,264.0,1.2,2.2e-80,264.0,1.2
NP_415729.1,RF-1,PF00472,1.2e-44,145.9,0.1,1.2e-44,145.9,0.1
NP_415730.1,MTS,PF05175,7.8e-20,66.0,0.1,1e-18,62.4,0.0
NP_415730.1,Methyltransf_25,PF13649,2.5e-11,39.1,0.0,4.9e-11,38.2,0.0
NP_415730.1,Methyltransf_4,PF02390,2.1e-10,35.3,0.0,4e-10,34.3,0.0
NP_415730.1,Cons_hypoth95,PF03602,6.6e-08,27.3,0.0,1.6e-07,26.1,0.0
NP_415739.1,Response_reg,PF00072,1.1e-32,107.4,0.1,1.9e-32,106.7,0.1
NP_415739.1,Sigma70_r4,PF04545,3.1e-08,28.0,0.1,9e-08,26.5,0.1
NP_415740.1,HATPase_c,PF02518,1.9e-17,58.6,0.1,3.9e-17,57.7,0.1
NP_415740.1,HAMP,PF00672,4.8e-13,44.2,0.7,1.3e-12,42.9,0.7
NP_415741.1,MFS_1,PF07690,5.8e-18,59.8,62.6,5.8e-18,59.8,62.6
NP_415748.1,Formyl_trans_N,PF00551,1.6e-61,202.2,0.1,1.9e-61,201.9,0.1
NP_415751.1,Response_reg,PF00072,2e-30,100.2,0.1,4.5e-30,99.1,0.1
NP_415752.1,NTP_transferase,PF00483,5.8e-30,99.5,0.0,7.6e-30,99.1,0.0
NP_415757.1,Aldedh,PF00171,5.7e-31,102.4,2.9,2.7e-30,100.2,2.9
NP_415759.1,SBP_bac_5,PF00496,2.6e-98,324.4,8.2,3.6e-98,323.9,8.2
NP_415760.1,BPD_transp_1,PF00528,2.6e-41,136.3,18.9,2.6e-41,136.3,18.9
NP_415761.1,BPD_transp_1,PF00528,7e-29,95.8,9.8,7e-29,95.8,9.8
NP_415763.1,ABC_tran,PF00005,2.3e-34,113.9,0.0,3.3e-34,113.4,0.0
NP_415766.1,TrkA_N,PF02254,1.2e-21,72.2,0.2,1.8e-21,71.6,0.2
NP_415769.1,4HBT,PF03061,3.3e-21,70.4,0.3,4.4e-21,70.0,0.3
NP_415777.1,PALP,PF00291,4.5e-46,152.4,0.6,6.4e-46,151.9,0.6
NP_415779.1,GATase,PF00117,4.7e-52,171.4,0.0,8.1e-52,170.6,0.0
NP_415782.1,PHP,PF02811,1.5e-10,36.5,0.0,2.7e-10,35.7,0.0
NP_415783.6,Sua5_yciO_yrdC,PF01300,8.2e-52,170.2,0.0,9.5e-52,170.0,0.0
NP_415785.1,PseudoU_synth_2,PF00849,7.8e-22,73.1,0.0,1.6e-21,72.1,0.0
NP_415785.1,S4,PF01479,7.1e-13,43.1,0.1,2.5e-12,41.4,0.1
NP_415787.1,adh_short,PF00106,3.8e-57,187.8,0.0,4.4e-57,187.6,0.0
NP_415787.1,adh_short_C2,PF13561,2.5e-38,126.9,0.0,6.1e-38,125.6,0.0
NP_415787.1,Epimerase,PF01370,2e-06,22.3,0.0,5.8e-06,20.8,0.0
NP_415790.1,Topoisom_bac,PF01131,1.8e-130,430.5,0.5,1.8e-130,430.5,0.5
NP_415790.1,Toprim,PF01751,4e-23,76.4,0.0,1e-22,75.1,0.0
NP_415791.1,LysR_substrate,PF03466,9.2e-46,150.8,0.0,1.2e-45,150.4,0.0
NP_415791.1,HTH_1,PF00126,5.3e-16,53.4,0.0,9.2e-16,52.6,0.0
NP_415797.1,OMPdecase,PF00215,1.2e-70,232.7,0.0,1.4e-70,232.6,0.0
NP_415802.1,S1,PF00575,1.2e-15,52.6,1.1,2.1e-13,45.4,0.3
NP_415804.1,adh_short_C2,PF13561,6.2e-90,295.8,0.5,6.9e-90,295.6,0.5
NP_415804.1,adh_short,PF00106,5.7e-17,56.7,0.1,7.1e-17,56.4,0.1
NP_415806.1,ABC_tran,PF00005,7.9e-38,125.1,0.0,1.7e-37,124.0,0.0
NP_415807.1,ABC_tran,PF00005,1.8e-32,107.8,0.0,8.4e-31,102.3,0.0
NP_415808.1,BPD_transp_1,PF00528,1.7e-20,68.5,14.3,1.7e-20,68.5,14.3
NP_415809.1,BPD_transp_1,PF00528,1.2e-43,144.0,11.5,1.2e-43,144.0,11.5
NP_415810.1,SBP_bac_5,PF00496,5.2e-90,297.1,0.0,6.3e-90,296.8,0.0
NP_415813.4,Gln-synt_C,PF00120,2.9e-108,356.8,0.0,3.6e-108,356.6,0.0
NP_415814.4,GATase,PF00117,1.5e-13,45.8,0.0,2.9e-13,44.8,0.0
NP_415815.1,HTH_3,PF01381,1.3e-16,55.4,0.5,1.9e-16,54.8,0.5
NP_415816.1,Aldedh,PF00171,3.5e-172,568.0,0.0,4e-172,567.8,0.0
NP_415817.1,DAO,PF01266,3.9e-76,251.8,0.6,4.5e-76,251.6,0.6
NP_415818.1,Aminotran_1_2,PF00155,6.9e-06,20.3,0.1,5.5e-05,17.4,0.1
NP_415824.1,Rhodanese,PF00581,8.9e-18,59.6,0.0,1.1e-17,59.3,0.0
NP_415827.1,BPD_transp_1,PF00528,5.1e-25,83.2,16.4,5.1e-25,83.2,16.4
NP_415828.1,BPD_transp_1,PF00528,9.6e-19,62.7,18.1,9.6e-19,62.7,18.1
NP_415829.1,ADH_zinc_N,PF00107,3.6e-28,93.1,0.0,6.2e-28,92.3,0.0
NP_415833.1,Hydrolase,PF00702,6e-26,86.9,0.0,7e-26,86.7,0.0
NP_415833.1,HAD_2,PF13419,1.8e-23,78.4,0.0,2.2e-23,78.1,0.0
NP_415839.1,AAA,PF00004,2.9e-06,22.7,0.0,7e-06,21.5,0.0
NP_415840.1,AhpC-TSA,PF00578,6.6e-18,59.8,0.0,8e-18,59.5,0.0
NP_415844.1,LysR_substrate,PF03466,6e-37,122.0,0.0,8.7e-37,121.4,0.0
NP_415844.1,HTH_1,PF00126,2.9e-23,76.6,3.4,5.1e-23,75.8,3.4
NP_415845.2,SBP_bac_5,PF00496,5.7e-97,320.0,9.9,8.1e-97,319.5,9.9
NP_415846.1,MS_channel_2nd,PF00924,2.4e-24,80.2,0.1,2.4e-24,80.2,0.1
NP_415851.1,DNA_binding_1,PF01035,6.1e-39,126.8,0.2,8.4e-39,126.3,0.2
NP_415853.1,Peptidase_M20,PF01546,5e-10,34.5,0.8,1.1e-09,33.5,0.1
NP_415854.4,Peptidase_M20,PF01546,5.4e-37,122.6,4.4,7.2e-37,122.2,4.4
NP_415855.1,LysR_substrate,PF03466,3.3e-42,139.1,0.0,4.4e-42,138.7,0.0
NP_415855.1,HTH_1,PF00126,1.1e-22,74.7,0.5,2.3e-22,73.7,0.5
NP_415859.1,DEAD,PF00270,7.7e-52,170.3,0.0,6.9e-49,160.7,0.0
NP_415859.1,Helicase_C,PF00271,1.2e-32,107.4,0.0,3.8e-31,102.6,0.0
NP_415859.1,ResIII,PF04851,3.8e-10,34.8,0.0,6.6e-10,34.1,0.0
NP_415860.1,ATP_bind_3,PF01171,2.3e-15,51.7,0.0,3.5e-15,51.1,0.0
NP_415861.1,Phage_integrase,PF00589,1.3e-24,81.8,0.0,3.8e-24,80.3,0.0
NP_415875.1,HTH_3,PF01381,3.3e-07,25.3,0.0,8.2e-07,24.0,0.0
NP_415878.1,Bac_DnaA,PF00308,1.8e-10,36.2,0.0,2.3e-10,35.8,0.0
NP_415883.1,ParB_N,PF02195,1.3e-12,42.7,0.1,1.3e-12,42.7,0.1
NP_415898.1,2-Hacid_dh_C,PF02826,1.3e-53,176.0,0.0,2e-53,175.3,0.0
NP_415903.4,Aldedh,PF00171,1.6e-162,536.1,0.0,2e-162,535.8,0.0
NP_415905.1,Aldedh,PF00171,5.1e-61,201.5,0.1,6.2e-61,201.2,0.1
NP_415914.1,4HBT,PF03061,7.5e-23,75.7,0.2,1.2e-22,74.9,0.0
NP_415915.1,ketoacyl-synt,PF00109,4.4e-06,21.4,0.3,1.1e-05,20.1,0.3
NP_415916.1,AMP-binding,PF00501,9e-20,65.7,0.0,1.2e-19,65.3,0.0
NP_415918.1,Hexapep,PF00132,1.9e-17,57.2,14.8,3e-10,34.4,1.9
NP_415926.4,CDP-OH_P_transf,PF01066,4.3e-11,38.4,8.1,5.7e-11,38.0,8.1
NP_415927.1,CTP_transf_1,PF01148,2e-71,235.8,17.3,2.7e-71,235.4,17.3
NP_415931.4,Helicase_C,PF00271,2.2e-14,48.6,0.1,8.6e-14,46.7,0.1
NP_415931.4,DEAD,PF00270,4.8e-09,31.1,0.0,1.4e-08,29.6,0.0
NP_415933.1,Aldedh,PF00171,6.5e-169,557.2,0.9,7.2e-169,557.0,0.9
NP_415938.1,HAMP,PF00672,7.7e-13,43.6,0.8,7.7e-13,43.6,0.8
NP_415939.2,LysR_substrate,PF03466,1.9e-36,120.4,0.0,2.5e-36,119.9,0.0
NP_415939.2,HTH_1,PF00126,4.6e-21,69.5,2.9,8.9e-21,68.6,2.9
NP_415944.1,Acetyltransf_1,PF00583,2.6e-16,54.9,0.0,3.6e-16,54.5,0.0
NP_415947.1,Methyltransf_25,PF13649,5.7e-16,54.0,0.0,9.5e-16,53.3,0.0
NP_415947.1,MTS,PF05175,3.5e-09,31.4,0.0,5.3e-09,30.8,0.0
NP_415951.1,HTH_3,PF01381,2.1e-18,61.1,0.0,3e-18,60.6,0.0
NP_415955.2,HTH_3,PF01381,3.5e-09,31.6,0.1,5.2e-09,31.0,0.1
NP_415956.1,Aminotran_1_2,PF00155,3.1e-35,116.9,0.0,5.8e-35,116.0,0.0
NP_415958.1,ABC_tran,PF00005,8.3e-36,118.6,0.0,1.9e-35,117.4,0.0
NP_415959.1,BPD_transp_1,PF00528,9.5e-15,49.7,20.6,9.5e-15,49.7,20.6
NP_415960.1,BPD_transp_1,PF00528,4.9e-13,44.1,13.7,4.9e-13,44.1,13.7
NP_415961.1,Aldedh,PF00171,1.2e-169,559.6,0.0,1.4e-169,559.4,0.0
NP_415965.1,Acetyltransf_1,PF00583,8e-23,75.9,0.1,1e-22,75.5,0.1
NP_415966.6,ADH_zinc_N,PF00107,8.1e-21,69.3,0.0,1.1e-20,68.8,0.0
NP_415986.1,MFS_1,PF07690,2.8e-14,47.7,61.0,2.8e-14,47.7,61.0
NP_415990.5,EamA,PF00892,2.2e-17,58.6,43.8,3e-10,35.4,21.0
NP_415994.4,HTH_3,PF01381,1.5e-11,39.1,0.1,1e-10,36.5,0.0
NP_415995.4,ADH_zinc_N,PF00107,7.8e-32,104.9,2.1,1.3e-31,104.1,2.1
NP_415995.4,ADH_N,PF08240,1.8e-28,93.8,5.0,1.8e-28,93.8,5.0
NP_416000.1,ABC_tran,PF00005,7.5e-31,102.5,0.0,1.2e-30,101.9,0.0
NP_416001.1,ABC_tran,PF00005,2.9e-31,103.8,0.0,3.8e-31,103.4,0.0
NP_416002.1,BPD_transp_1,PF00528,2.2e-34,113.7,10.3,2.2e-34,113.7,10.3
NP_416003.1,BPD_transp_1,PF00528,2.6e-46,152.6,13.7,2.6e-46,152.6,13.7
NP_416004.1,SBP_bac_5,PF00496,1.9e-102,338.0,6.2,2.9e-102,337.4,6.2
NP_416011.1,Peptidase_M16_C,PF05193,6.1e-56,184.1,1.5,8.3e-31,102.2,0.1
NP_416011.1,Peptidase_M16,PF00675,1.9e-42,139.6,5.8,5.6e-42,138.1,0.0
NP_416013.1,ABC_tran,PF00005,2.1e-20,68.7,0.0,5.7e-20,67.3,0.0
NP_416014.4,Radical_SAM,PF04055,3.4e-24,80.8,0.0,6.2e-24,80.0,0.0
NP_416025.1,HTH_3,PF01381,9.9e-17,55.7,0.0,1.6e-16,55.1,0.0
NP_416030.1,ABC_tran,PF00005,1.2e-54,179.6,0.2,3.7e-30,100.3,0.0
NP_416036.1,Methyltransf_25,PF13649,5.6e-20,66.8,0.0,2.5e-19,64.7,0.0
NP_416036.1,MTS,PF05175,1.3e-06,23.0,0.0,2e-06,22.4,0.0
NP_416042.2,Aldedh,PF00171,4.2e-143,472.1,0.9,4.9e-143,471.9,0.9
NP_416043.1,LysR_substrate,PF03466,1.7e-47,156.5,0.0,2.4e-47,155.9,0.0
NP_416043.1,HTH_1,PF00126,2.2e-20,67.4,1.0,4.1e-20,66.5,1.0
NP_416045.1,MFS_1,PF07690,6.4e-40,132.0,59.9,6.4e-40,132.0,59.9
NP_416050.4,EamA,PF00892,1.9e-30,100.8,44.4,4.2e-17,57.6,17.2
NP_416051.1,MFS_1,PF07690,8.4e-34,111.9,51.6,1.1e-33,111.5,37.7
NP_416057.1,adh_short,PF00106,2.6e-55,181.8,0.0,3.1e-55,181.6,0.0
NP_416057.1,adh_short_C2,PF13561,2.5e-37,123.6,0.0,3.1e-37,123.3,0.0
NP_416057.1,Epimerase,PF01370,1.2e-08,29.6,0.1,3.9e-08,27.9,0.1
NP_416088.1,HTH_3,PF01381,2.6e-18,60.8,0.0,5.2e-18,59.8,0.0
NP_416097.1,ADH_N,PF08240,1.6e-34,113.2,1.4,6.6e-34,111.3,2.0
NP_416097.1,ADH_zinc_N,PF00107,2.5e-23,77.4,0.0,4.2e-23,76.7,0.0
NP_416101.1,Acetyltransf_1,PF00583,2.1e-21,71.3,0.3,2.8e-21,70.9,0.3
NP_416112.1,LysR_substrate,PF03466,4.6e-50,164.8,1.5,6.5e-50,164.3,1.5
NP_416112.1,HTH_1,PF00126,1.1e-25,84.4,2.3,2.1e-25,83.4,2.3
NP_416113.1,MFS_1,PF07690,2.3e-44,146.6,63.1,8.4e-32,105.3,27.8
NP_416115.1,Trypsin_2,PF13365,1.2e-10,37.2,0.0,2.9e-10,36.0,0.0
NP_416118.1,AI-2E_transport,PF01594,8.2e-82,270.0,39.6,9.4e-82,269.8,39.6
NP_416123.1,adh_short_C2,PF13561,2.2e-23,78.0,0.0,2.7e-23,77.7,0.0
NP_416123.1,adh_short,PF00106,1.1e-19,65.6,0.0,1.4e-19,65.2,0.0
NP_416125.2,Trans_reg_C,PF00486,9e-24,78.3,0.5,2.6e-23,76.9,0.0
NP_416125.2,Response_reg,PF00072,2.8e-22,73.9,0.1,4.3e-22,73.4,0.1
NP_416126.1,HATPase_c,PF02518,1.2e-26,88.3,0.0,2.3e-26,87.4,0.0
NP_416126.1,HisKA,PF00512,4.6e-11,37.6,1.6,1.3e-10,36.2,1.6
NP_416126.1,HAMP,PF00672,2e-10,35.8,0.1,4.9e-10,34.6,0.1
NP_416128.1,Lyase_1,PF00206,6.7e-127,418.1,0.1,9.7e-127,417.5,0.1
NP_416133.1,MFS_1,PF07690,1.5e-15,51.9,50.9,1.8e-14,48.3,44.1
NP_416135.1,TetR_N,PF00440,2.7e-20,66.9,0.1,1.5e-19,64.5,0.0
NP_416136.1,adh_short_C2,PF13561,1.4e-66,219.4,0.8,1.7e-66,219.1,0.8
NP_416136.1,adh_short,PF00106,1.7e-61,202.0,1.1,2.2e-61,201.6,1.1
NP_416139.1,Aminotran_1_2,PF00155,3.1e-70,232.1,0.0,3.5e-70,231.9,0.0
NP_416150.1,HhH-GPD,PF00730,2.5e-26,87.1,0.0,3.8e-26,86.5,0.0
NP_416151.1,MFS_1,PF07690,1.3e-23,78.4,54.8,8.8e-19,62.5,38.0
NP_416153.1,PfkB,PF00294,1.1e-11,39.5,0.2,3.9e-11,37.7,0.1
NP_416154.1,tRNA-synt_1b,PF00579,4.8e-97,319.7,0.0,6.1e-97,319.3,0.0
NP_416154.1,S4,PF01479,1.4e-08,29.3,0.0,3.4e-08,28.1,0.0
NP_416161.4,Biotin_lipoyl,PF00364,3.7e-08,28.1,0.0,0.0012,13.7,0.1
NP_416166.3,TetR_N,PF00440,1.3e-11,39.1,0.0,2e-11,38.5,0.0
NP_416169.1,RNase_T,PF00929,2.3e-25,85.0,0.0,2.9e-25,84.6,0.0
NP_416170.1,DEAD,PF00270,2.6e-32,106.8,0.0,8.5e-32,105.1,0.0
NP_416170.1,Helicase_C,PF00271,2.6e-15,51.6,0.1,3.1e-14,48.1,0.0
NP_416170.1,ResIII,PF04851,1.1e-10,36.6,0.0,2.2e-10,35.6,0.0
NP_416174.1,MFS_1,PF07690,5.4e-38,125.6,62.9,5.3e-37,122.4,47.8
NP_416176.1,LysR_substrate,PF03466,6.5e-31,102.2,0.0,1.1e-30,101.4,0.0
NP_416176.1,HTH_1,PF00126,8.5e-23,75.1,0.2,1.4e-22,74.4,0.2
NP_416178.1,Methyltransf_25,PF13649,3.6e-19,64.3,0.0,6.7e-19,63.4,0.0
NP_416178.1,MTS,PF05175,4.8e-07,24.4,0.0,8.3e-07,23.7,0.0
NP_416193.1,LysM,PF01476,2.8e-10,35.0,0.0,5.7e-10,34.0,0.0
NP_416195.1,Aminotran_5,PF00266,6.7e-162,533.5,0.0,7.6e-162,533.3,0.0
NP_416197.1,ABC_tran,PF00005,3.2e-23,77.8,0.0,4.3e-23,77.4,0.0
NP_416201.1,4HBT,PF03061,2.6e-20,67.5,0.1,3.9e-20,66.9,0.1
NP_416202.1,FAD_binding_4,PF01565,4.9e-40,131.4,0.2,1.5e-39,129.9,0.1
NP_416203.1,AI-2E_transport,PF01594,7.4e-67,220.9,38.1,8.6e-67,220.7,38.1
NP_416205.1,MFS_1,PF07690,1.4e-33,111.2,51.2,2.5e-24,80.7,38.0
NP_416206.6,MFS_1,PF07690,9.3e-35,115.0,58.1,8e-31,102.1,40.2
NP_416207.1,Shikimate_dh_N,PF08501,8.9e-30,97.8,0.0,1.8e-29,96.8,0.0
NP_416214.1,DAO,PF01266,1.2e-18,62.7,4.8,1.6e-09,32.6,0.3
NP_416214.1,Pyr_redox_2,PF07992,1.5e-09,32.6,3.7,1.9e-07,25.7,0.2
NP_416216.5,AMP-binding,PF00501,5.6e-90,296.8,0.0,6.9e-90,296.5,0.0
NP_416216.5,AMP-binding_C,PF13193,2e-20,68.5,0.3,4.3e-20,67.4,0.3
NP_416217.1,PEP-utilizers,PF00391,1.5e-31,102.8,0.5,4.4e-31,101.3,0.5
NP_416224.1,ABC_tran,PF00005,4.5e-25,83.8,0.0,7.5e-25,83.1,0.0
NP_416227.1,Bac_DNA_binding,PF00216,8.3e-33,107.5,0.1,9.4e-33,107.3,0.1
NP_416228.1,B3_4,PF03483,4e-77,252.7,0.0,6.6e-77,251.9,0.0
NP_416228.1,tRNA_synthFbeta,PF17759,2.2e-63,208.5,0.0,3.8e-63,207.7,0.0
NP_416228.1,FDX-ACB,PF03147,9.9e-32,104.3,0.0,1.9e-31,103.4,0.0
NP_416228.1,tRNA_bind,PF01588,2.6e-28,92.9,0.4,8.9e-28,91.3,0.0
NP_416228.1,B5,PF03484,2e-26,86.9,1.1,3e-25,83.2,0.2
NP_416229.1,tRNA-synt_2d,PF01409,2.4e-109,359.4,0.1,2.9e-109,359.1,0.1
NP_416229.1,Phe_tRNA-synt_N,PF02912,1.7e-29,96.6,1.5,4.2e-29,95.3,1.5
NP_416231.1,Ribosomal_L20,PF00453,1.1e-49,162.0,9.4,1.2e-49,161.8,9.4
NP_416232.3,Ribosomal_L35p,PF01632,7.5e-25,82.2,8.9,8e-25,82.1,8.9
NP_416233.1,IF3_C,PF00707,1.4e-37,122.5,0.8,2.9e-37,121.5,0.8
NP_416234.1,tRNA-synt_2b,PF00587,2.5e-65,214.8,0.0,4.5e-65,214.0,0.0
NP_416234.1,HGTP_anticodon,PF03129,1.6e-27,90.5,1.1,4e-27,89.2,1.1
NP_416234.1,TGS,PF02824,8.8e-18,59.1,0.2,1.8e-16,54.9,0.0
NP_416234.1,tRNA_SAD,PF07973,1.8e-17,58.0,0.0,3.8e-17,57.0,0.0
NP_416237.3,PfkB,PF00294,8.4e-72,236.9,0.7,9.7e-72,236.7,0.7
NP_416241.1,Hydrolase,PF00702,1.4e-26,89.0,0.0,2e-26,88.5,0.0
NP_416241.1,HAD_2,PF13419,4.6e-24,80.3,0.0,5.5e-24,80.1,0.0
NP_416254.1,NAD_synthase,PF02540,5.7e-80,262.8,0.0,6.7e-80,262.6,0.0
NP_416260.1,Aldedh,PF00171,7.1e-121,398.8,0.0,8.8e-121,398.5,0.0
NP_416262.1,Aminotran_1_2,PF00155,1.3e-07,26.1,0.0,1.6e-07,25.7,0.0
NP_416263.1,Exo_endo_phos,PF03372,5.8e-40,132.2,0.0,6.6e-40,132.0,0.0
NP_416264.4,VTT_dom,PF09335,1.3e-27,91.7,5.7,1.3e-27,91.7,5.7
NP_416266.1,VTT_dom,PF09335,2.8e-26,87.4,7.0,2.8e-26,87.4,7.0
NP_416269.4,BPD_transp_1,PF00528,6.3e-09,30.7,17.9,6.3e-09,30.7,17.9
NP_416270.1,ABC_tran,PF00005,4.3e-31,103.3,0.0,5.5e-31,102.9,0.0
NP_416271.4,Rhodanese,PF00581,2.9e-33,109.3,0.3,1.4e-13,46.1,0.0
NP_416272.2,CDP-OH_P_transf,PF01066,2.5e-12,42.4,8.6,3.2e-12,42.1,8.6
NP_416273.1,NUDIX,PF00293,5.7e-25,82.8,0.7,6.4e-25,82.7,0.7
NP_416277.1,Topoisom_bac,PF01131,1.4e-110,365.0,0.0,1.9e-110,364.6,0.0
NP_416277.1,Toprim,PF01751,2.3e-17,57.9,0.0,5.8e-17,56.7,0.0
NP_416278.1,AIRS,PF00586,1.3e-27,91.4,0.2,3.2e-27,90.2,0.2
NP_416278.1,AIRS_C,PF02769,4.8e-25,83.5,0.7,7e-25,82.9,0.7
NP_416279.1,Nitroreductase,PF00881,1.3e-26,88.6,0.1,1.6e-26,88.4,0.1
NP_416280.1,CLP_protease,PF00574,3.1e-07,25.3,0.3,3.5e-05,18.7,0.2
NP_416283.1,MFS_1,PF07690,3.6e-40,132.8,58.9,1.3e-37,124.4,45.7
NP_416286.4,PfkB,PF00294,2.2e-75,248.7,0.2,2.6e-75,248.5,0.2
NP_416288.1,ADH_zinc_N,PF00107,1.3e-30,101.0,0.8,3.3e-30,99.6,0.8
NP_416288.1,ADH_N,PF08240,5.4e-30,98.7,0.2,5.4e-30,98.7,0.2
NP_416289.1,MFS_1,PF07690,1.8e-37,123.9,48.7,1.3e-35,117.8,32.9
NP_416290.1,ADH_zinc_N,PF00107,3.5e-32,106.0,0.2,6.6e-32,105.1,0.2
NP_416290.1,ADH_N,PF08240,3.3e-24,80.1,3.8,4.2e-24,79.8,2.2
NP_416293.1,Gp_dh_C,PF02800,5.5e-74,242.0,0.0,7.6e-74,241.5,0.0
NP_416293.1,Gp_dh_N,PF00044,6.3e-45,146.6,0.9,1.9e-44,145.1,0.2
NP_416305.1,MFS_1,PF07690,8.3e-28,92.2,56.7,1.3e-25,84.9,52.2
NP_416313.4,LysR_substrate,PF03466,9.9e-35,114.7,0.3,1.4e-34,114.2,0.3
NP_416313.4,HTH_1,PF00126,6.6e-20,65.9,1.2,1.1e-19,65.2,1.2
NP_416319.1,AMP-binding,PF00501,9.5e-103,338.8,0.0,1.2e-102,338.5,0.0
NP_416319.1,AMP-binding_C,PF13193,5e-21,70.4,1.5,5.7e-20,67.0,0.4
NP_416321.1,TsaD,PF00814,4e-30,100.3,0.0,7.4e-30,99.4,0.0
NP_416322.1,DEAD,PF00270,6e-14,47.1,1.7,7.4e-08,27.2,0.1
NP_416322.1,ResIII,PF04851,1.1e-09,33.3,0.1,5.2e-06,21.4,0.0
NP_416327.1,NUDIX,PF00293,1.1e-17,59.2,0.0,2.1e-17,58.4,0.0
NP_416330.1,CorC_HlyC,PF03471,7.4e-19,62.6,0.4,1.8e-18,61.3,0.4
NP_416330.1,CBS,PF00571,2.3e-09,32.5,1.3,0.00041,15.6,0.1
NP_416336.1,Methyltransf_25,PF13649,3.6e-17,57.8,0.0,7.8e-17,56.8,0.0
NP_416336.1,Methyltransf_4,PF02390,2.2e-07,25.5,0.0,7.2e-06,20.5,0.0
NP_416336.1,MTS,PF05175,3.1e-07,25.0,0.0,4.6e-07,24.5,0.0
NP_416342.4,MFS_1,PF07690,1e-54,180.7,46.1,1e-54,180.7,46.1
NP_416349.2,Methyltr_RsmB-F,PF01189,2.5e-47,156.0,0.0,3.7e-47,155.5,0.0
NP_416352.4,Metallophos,PF00149,3.2e-17,58.5,1.1,4.4e-17,58.1,1.1
NP_416358.1,RNase_T,PF00929,1.5e-18,62.8,0.0,1.3e-17,59.7,0.0
NP_416363.1,Dala_Dala_lig_C,PF07478,5.8e-11,37.2,0.0,5.2e-10,34.1,0.0
NP_416363.1,CPSase_L_D2,PF02786,2.2e-08,28.8,0.0,3.8e-08,28.0,0.0
NP_416367.1,SIS,PF01380,6.6e-32,105.0,0.6,9.2e-32,104.5,0.1
NP_416370.2,LysM,PF01476,2.6e-09,31.9,1.6,3.7e-09,31.4,0.2
NP_416372.1,ABC_tran,PF00005,4.3e-31,103.3,0.0,7.1e-31,102.6,0.0
NP_416374.1,RuvB_N,PF05496,8e-84,274.1,0.0,1.1e-83,273.7,0.0
NP_416374.1,AAA_lid_4,PF17864,2.6e-33,108.6,0.4,4.6e-33,107.8,0.4
NP_416374.1,WHD_RuvB,PF05491,6.3e-26,85.1,0.0,1.1e-25,84.4,0.0
NP_416374.1,AAA,PF00004,1.7e-23,78.5,0.0,3.4e-23,77.5,0.0
NP_416375.1,RuvA_N,PF01330,2.4e-26,86.6,0.2,1.2e-25,84.3,0.1
NP_416375.1,RuvA_C,PF07499,4.5e-18,60.5,1.9,4.5e-18,60.5,1.9
NP_416375.1,HHH_5,PF14520,1.2e-16,55.9,1.9,1.3e-16,55.8,0.3
NP_416378.1,Transcrip_reg,PF01709,4.1e-64,210.0,0.1,5.4e-64,209.7,0.1
NP_416379.1,NUDIX,PF00293,3.7e-19,64.0,0.4,4.4e-19,63.8,0.4
NP_416380.1,tRNA-synt_2,PF00152,6.1e-126,414.5,0.0,7.4e-126,414.2,0.0
NP_416380.1,tRNA_anti-codon,PF01336,7.8e-20,65.6,0.0,1.7e-19,64.6,0.0
NP_416384.1,Methyltransf_25,PF13649,3.7e-17,57.8,0.0,7.2e-17,56.9,0.0
NP_416385.1,Methyltransf_25,PF13649,1.2e-08,30.5,0.0,2.8e-08,29.3,0.0
NP_416390.1,tRNA-synt_1d,PF00750,1.1e-182,601.6,0.3,1.4e-182,601.2,0.3
NP_416390.1,DALR_1,PF05746,2.1e-39,129.2,0.2,9.4e-39,127.1,0.2
NP_416390.1,Arg_tRNA_synt_N,PF03485,1e-24,81.9,0.2,3.7e-24,80.2,0.1
